trial,label,time,rel_time,ax,ay,az,acc_mag
1,schwer,1777200577.6681159,0.0221,-0.0234,-0.0312,0.0352,0.05253608283836929
1,schwer,1777200577.693463,0.0474,-0.0234,0.0078,0.0352,0.04298185663742319
1,schwer,1777200577.693944,0.0479,0.0156,-0.0312,0.0742,0.0819904872530954
1,schwer,1777200577.69398,0.048,0.0156,0.0078,-0.0039,0.017872045210327776
1,schwer,1777200577.694012,0.048,-0.0234,0.0078,-0.0117,0.0273
1,schwer,1777200577.718543,0.0725,0.0156,0.0078,-0.0508,0.05371070656768537
1,schwer,1777200577.7428858,0.0969,-0.0234,0.0078,-0.0508,0.05647158577550306
1,schwer,1777200577.7429461,0.0969,0.0156,0.0078,-0.043,0.046402586134826576
1,schwer,1777200577.7450712,0.0991,0.0156,0.0078,-0.0039,0.017872045210327776
1,schwer,1777200577.7681239,0.1221,-0.0234,0.0469,-0.0039,0.05255834852808828
1,schwer,1777200577.770124,0.1241,-0.0234,0.0078,0.0352,0.04298185663742319
1,schwer,1777200577.792296,0.1463,-0.0234,0.0078,0.0352,0.04298185663742319
1,schwer,1777200577.7924962,0.1465,0.0156,-0.0312,0.0352,0.049556432478539046
1,schwer,1777200577.81736,0.1713,-0.0156,-0.0312,0.0352,0.049556432478539046
1,schwer,1777200577.81826,0.1722,0.0234,-0.0703,0.0352,0.08202859257600364
1,schwer,1777200577.8184278,0.1724,0.0234,0.0078,0.0273,0.03679252641502076
1,schwer,1777200577.81926,0.1732,-0.0156,0.0078,0.0273,0.03239583306538049
1,schwer,1777200577.843605,0.1976,-0.0156,0.0469,-0.0117,0.05079232225445102
1,schwer,1777200577.845153,0.1991,-0.0156,0.0078,-0.0117,0.021002142747824564
1,schwer,1777200577.8696609,0.2236,-0.0156,0.0469,-0.0117,0.05079232225445102
1,schwer,1777200577.895031,0.249,-0.0156,-0.0312,-0.0859,0.09271251263988049
1,schwer,1777200577.895361,0.2493,-0.0156,0.0078,-0.0508,0.05371070656768537
1,schwer,1777200577.8954911,0.2495,0.0234,0.0078,-0.043,0.04957216961158751
1,schwer,1777200577.919314,0.2733,0.0234,0.0078,-0.043,0.04957216961158751
1,schwer,1777200577.91988,0.2739,0.0234,0.0078,-0.0039,0.024972184525988112
1,schwer,1777200577.943249,0.2972,0.0234,-0.0312,0.0742,0.08382505592005292
1,schwer,1777200577.943326,0.2973,0.0234,-0.0312,0.0352,0.05253608283836929
1,schwer,1777200577.994362,0.3483,0.0234,-0.0312,0.0352,0.05253608283836929
1,schwer,1777200577.994834,0.3488,0.0234,-0.0312,-0.0039,0.03919451492237147
1,schwer,1777200577.995606,0.3496,0.0234,0.0078,0.0352,0.04298185663742319
1,schwer,1777200577.9958742,0.3499,0.0234,0.0078,0.0352,0.04298185663742319
1,schwer,1777200578.0182889,0.3723,-0.0156,0.0078,-0.0039,0.017872045210327776
1,schwer,1777200578.018698,0.3727,-0.0156,0.0078,-0.0039,0.017872045210327776
1,schwer,1777200578.0437021,0.3977,-0.0156,0.0078,-0.043,0.046402586134826576
1,schwer,1777200578.0681589,0.4221,-0.0156,-0.0312,-0.043,0.055369666786066175
1,schwer,1777200578.070495,0.4245,0.0234,-0.0312,-0.0039,0.03919451492237147
1,schwer,1777200578.0933492,0.4473,-0.0156,-0.0312,-0.043,0.055369666786066175
1,schwer,1777200578.094304,0.4483,0.0234,0.0078,0.0352,0.04298185663742319
1,schwer,1777200578.094592,0.4486,-0.0156,0.0078,0.0352,0.03928409347305853
1,schwer,1777200578.117915,0.4719,-0.0156,0.0078,-0.0039,0.017872045210327776
1,schwer,1777200578.119257,0.4732,-0.0156,0.0078,0.0742,0.07622230644634155
1,schwer,1777200578.1199412,0.4739,-0.0156,0.0078,0.0352,0.03928409347305853
1,schwer,1777200578.14368,0.4977,0.0234,0.0078,0.0742,0.07819232698928968
1,schwer,1777200578.167614,0.5216,0.0234,0.0078,-0.0039,0.024972184525988112
1,schwer,1777200578.169898,0.5239,-0.0156,0.0078,-0.0117,0.021002142747824564
1,schwer,1777200578.169944,0.5239,-0.0156,-0.0312,-0.0508,0.06162337218945422
1,schwer,1777200578.193343,0.5473,-0.0156,-0.0312,-0.0117,0.03679252641502075
1,schwer,1777200578.194474,0.5485,-0.0156,0.0078,-0.0508,0.05371070656768537
1,schwer,1777200578.1950662,0.549,0.0234,-0.0312,-0.0508,0.06404404734243457
1,schwer,1777200578.219174,0.5732,-0.0156,-0.0312,-0.043,0.055369666786066175
1,schwer,1777200578.2195132,0.5735,-0.0156,0.0078,-0.0039,0.017872045210327776
1,schwer,1777200578.244121,0.5981,0.0234,0.0078,-0.0039,0.024972184525988112
1,schwer,1777200578.268493,0.6225,-0.0156,0.0078,0.0352,0.03928409347305853
1,schwer,1777200578.269022,0.623,0.0234,0.0078,0.0352,0.04298185663742319
1,schwer,1777200578.294976,0.649,0.0234,0.0078,0.0352,0.04298185663742319
1,schwer,1777200578.295093,0.6491,0.0234,-0.0312,-0.0039,0.03919451492237147
1,schwer,1777200578.318411,0.6724,-0.0156,-0.0312,-0.0117,0.03679252641502075
1,schwer,1777200578.318795,0.6728,0.0234,0.0078,-0.0117,0.0273
1,schwer,1777200578.34432,0.6983,-0.0156,-0.0312,-0.0117,0.03679252641502075
1,schwer,1777200578.3455,0.6995,-0.0156,0.0078,-0.0508,0.05371070656768537
1,schwer,1777200578.3698812,0.7239,-0.0156,0.0078,-0.043,0.046402586134826576
1,schwer,1777200578.369984,0.724,0.0234,0.0078,-0.0039,0.024972184525988112
1,schwer,1777200578.394398,0.7484,0.0234,0.0078,-0.0039,0.024972184525988112
1,schwer,1777200578.394855,0.7488,0.0234,0.0078,-0.0039,0.024972184525988112
1,schwer,1777200578.3951051,0.7491,-0.0156,0.0078,-0.0039,0.017872045210327776
1,schwer,1777200578.419901,0.7739,0.0234,0.0078,0.0742,0.07819232698928968
1,schwer,1777200578.443111,0.7971,0.0234,0.0078,-0.0039,0.024972184525988112
1,schwer,1777200578.44539,0.7994,0.0234,0.0078,-0.0039,0.024972184525988112
1,schwer,1777200578.4455402,0.7995,0.0234,-0.0312,0.0352,0.05253608283836929
1,schwer,1777200578.469047,0.823,0.0234,-0.0312,0.0352,0.05253608283836929
1,schwer,1777200578.4698281,0.8238,-0.0156,-0.0312,0.0352,0.049556432478539046
1,schwer,1777200578.469887,0.8239,0.0156,0.0156,-0.0039,0.022403794321498312
1,schwer,1777200578.495004,0.849,-0.0234,0.0156,-0.0039,0.02839242856819402
1,schwer,1777200578.495095,0.8491,0.0156,0.0156,-0.043,0.048329287186963554
1,schwer,1777200578.518647,0.8726,-0.0234,0.0156,-0.0039,0.02839242856819402
1,schwer,1777200578.544332,0.8983,-0.0234,0.0156,-0.0039,0.02839242856819402
1,schwer,1777200578.54444,0.8984,-0.0234,0.0156,-0.0039,0.02839242856819402
1,schwer,1777200578.5444748,0.8985,0.0156,0.0078,0.0352,0.03928409347305853
1,schwer,1777200578.568904,0.9229,0.0156,0.0078,-0.0039,0.017872045210327776
1,schwer,1777200578.5696828,0.9237,0.0156,-0.0312,0.0352,0.049556432478539046
1,schwer,1777200578.569888,0.9239,0.0156,-0.0312,-0.0117,0.03679252641502075
1,schwer,1777200578.569921,0.9239,-0.0234,-0.0234,0.0273,0.0429
1,schwer,1777200578.593927,0.9479,-0.0234,-0.0234,-0.0117,0.0351
1,schwer,1777200578.594198,0.9482,0.0156,0.0156,-0.0117,0.02497218452598811
1,schwer,1777200578.618936,0.9729,-0.0234,0.0156,0.0273,0.03919451492237147
1,schwer,1777200578.619981,0.974,-0.1758,0.168,0.2188,0.3271132525594156
1,schwer,1777200578.643072,0.9971,-0.168,0.1992,0.2266,0.34532911837839564
1,schwer,1777200578.643548,0.9975,0.1406,-0.0977,-0.1875,0.2539092357516756
1,schwer,1777200578.669266,1.0232,0.0938,-0.0977,-0.1094,0.17410367600943985
1,schwer,1777200578.670187,1.0242,0.0156,-0.0234,-0.0703,0.07571664282045262
1,schwer,1777200578.69397,1.0479,-0.0234,0.0234,0.0039,0.033321614606738374
1,schwer,1777200578.718155,1.0721,-0.0586,0.0547,0.1211,0.14522830302664835
1,schwer,1777200578.7182279,1.0722,-0.0977,0.0938,0.1562,0.20674179548412555
1,schwer,1777200578.7440681,1.098,-0.1758,0.1328,0.1953,0.294420736362098
1,schwer,1777200578.7442298,1.0982,-0.168,0.1328,0.2344,0.3174951968140621
1,schwer,1777200578.769378,1.1234,-0.1289,0.1406,0.1641,0.25161951434656255
1,schwer,1777200578.769969,1.1239,-0.0508,0.0703,0.0898,0.12484698634728834
1,schwer,1777200578.7700438,1.124,-0.0508,0.0234,0.0898,0.1057933835360227
1,schwer,1777200578.794705,1.1487,0.0312,-0.0156,0.082,0.08911116652810691
1,schwer,1777200578.795168,1.1491,0.0312,-0.0898,0.043,0.10433829594161484
1,schwer,1777200578.795386,1.1494,0.0312,-0.7812,0.6484,1.0157112975644211
1,schwer,1777200578.819206,1.1732,0.0312,-0.3516,0.6016,0.6975088243169402
1,schwer,1777200578.8199072,1.1739,0.0703,0.0781,0.4805,0.4918556190590893
1,schwer,1777200578.844049,1.198,-0.1602,0.5,-0.2578,0.5849144210908122
1,schwer,1777200578.844967,1.1989,0.0312,0.4922,-0.2656,0.5601585846883006
1,schwer,1777200578.868719,1.2227,-0.043,0.1484,-0.0742,0.17139778294948857
1,schwer,1777200578.869728,1.2237,0.0703,0.1484,-0.082,0.18354468120869097
1,schwer,1777200578.894103,1.2481,0.3398,0.4453,-0.082,0.5661096448568952
1,schwer,1777200578.895038,1.249,0.0703,1.0117,-0.7109,1.2384901251120253
1,schwer,1777200578.920152,1.2741,-0.6211,0.0312,0.0195,0.6221887977133629
1,schwer,1777200578.9208,1.2748,-0.6484,0.75,0.6758,1.1998450733323864
1,schwer,1777200578.944243,1.2982,-2.6016,-0.0078,0.7812,2.7163683181777833
1,schwer,1777200578.945364,1.2993,-3.1797,0.5273,0.4766,3.2581720243105643
1,schwer,1777200578.970345,1.3243,-3.1016,1.0234,-0.4766,3.3006692775859867
1,schwer,1777200578.9704618,1.3244,-3.332,0.9297,-0.3906,3.4812547235156464
1,schwer,1777200578.9929569,1.3469,-3.4062,0.5,-0.2305,3.450409930718378
1,schwer,1777200578.994179,1.3482,-3.3984,0.293,-0.1758,3.4155346872781136
1,schwer,1777200579.020225,1.3742,-2.9023,0.2422,-0.5977,2.973087859448489
1,schwer,1777200579.020868,1.3748,-2.8555,0.1055,-0.6133,2.922524147034546
1,schwer,1777200579.0442991,1.3983,-2.7773,-0.1484,-0.6172,2.848921495934909
1,schwer,1777200579.0451462,1.3991,-2.8086,-0.3125,-0.6328,2.8959154079496177
1,schwer,1777200579.068085,1.4221,-2.4258,-0.5977,-0.7383,2.605156006844888
1,schwer,1777200579.068646,1.4226,-2.1953,-0.6562,-0.8242,2.435004347018707
1,schwer,1777200579.093545,1.4475,-1.9219,-0.75,-0.875,2.240942794896826
1,schwer,1777200579.119982,1.474,-1.7617,-0.7812,-1.3281,2.3404507984574257
1,schwer,1777200579.1201332,1.4741,-1.5977,-0.7344,-1.4727,2.2936507885901025
1,schwer,1777200579.12223,1.4762,-1.0625,-0.5664,-1.6562,2.047611694145157
1,schwer,1777200579.144974,1.499,-0.8633,-0.4727,-1.6484,1.9198840433734534
1,schwer,1777200579.145452,1.4994,-0.7852,-0.4961,-1.6328,1.8784807930878613
1,schwer,1777200579.1696582,1.5236,-0.7031,-0.5508,-1.625,1.854280251202606
1,schwer,1777200579.169749,1.5237,-0.4336,-0.7266,-1.6875,1.8877533657763663
1,schwer,1777200579.1704152,1.5244,-0.2344,-0.6328,-1.7539,1.8792403811114744
1,schwer,1777200579.194815,1.5488,-0.0664,-0.3477,-1.8633,1.8966262520591664
1,schwer,1777200579.22013,1.5741,-0.1328,-0.3164,-2.1055,2.133278005792963
1,schwer,1777200579.2202592,1.5742,-0.1055,-0.3789,-2.1367,2.1725980645301144
1,schwer,1777200579.220324,1.5743,0.0586,-0.4844,-2.082,2.138410933380205
1,schwer,1777200579.2439198,1.5979,0.25,-0.5234,-1.9766,2.0599502712444298
1,schwer,1777200579.24401,1.598,0.5234,-0.4102,-1.793,1.9123442681693061
1,schwer,1777200579.268853,1.6228,0.6406,-0.5703,-1.5703,1.7892603332103465
1,schwer,1777200579.269572,1.6236,0.7148,-0.7227,-1.375,1.709929627206921
1,schwer,1777200579.27025,1.6242,0.8008,-0.7773,-1.1914,1.6324551724320029
1,schwer,1777200579.294933,1.6489,1.2539,-0.5703,-1.0078,1.70680055659705
1,schwer,1777200579.2950668,1.649,1.4531,-0.5547,-0.9297,1.812052369552271
1,schwer,1777200579.318549,1.6725,1.5664,-0.6016,-0.9375,1.922092029534486
1,schwer,1777200579.318953,1.6729,1.6055,-0.7344,-0.9453,2.0026396830183906
1,schwer,1777200579.3208692,1.6748,1.875,-0.7109,-1.1133,2.293565063389308
1,schwer,1777200579.346889,1.7009,2.0273,-0.6484,-1.1289,2.4093117398958563
1,schwer,1777200579.346984,1.701,2.1016,-0.5742,-1.0977,2.439543705285888
1,schwer,1777200579.368405,1.7224,2.2188,-0.4961,-0.9492,2.4637713550571205
1,schwer,1777200579.369676,1.7237,2.5547,-0.4414,-0.6797,2.6801712893022342
1,schwer,1777200579.39381,1.7478,2.7148,-0.2188,-0.1875,2.7300492175050617
1,schwer,1777200579.4185789,1.7726,2.8594,-0.0117,0.1797,2.865064980065897
1,schwer,1777200579.41886,1.7728,2.9766,0.0664,0.2422,2.987175481956157
1,schwer,1777200579.442436,1.7964,2.9375,0.1289,0.332,2.959010892173261
1,schwer,1777200579.4440022,1.798,2.8516,0.1602,0.5195,2.9029582928454207
1,schwer,1777200579.444139,1.7981,2.8906,0.3281,0.918,3.050564205192213
1,schwer,1777200579.467434,1.8214,3.0078,0.6055,1.1562,3.27876341476478
1,schwer,1777200579.469422,1.8234,3.1133,0.6484,1.3164,3.441797264511668
1,schwer,1777200579.469474,1.8235,3.082,0.582,1.3164,3.40152274136158
1,schwer,1777200579.494166,1.8481,2.7305,0.2148,1.4531,3.1005271971069694
1,schwer,1777200579.518518,1.8725,2.3477,0.168,1.5,2.7910426886738944
1,schwer,1777200579.5185978,1.8726,2.2266,0.418,1.5195,2.727884126937946
1,schwer,1777200579.542635,1.8966,2.2344,1.0391,1.4688,2.868735890597111
1,schwer,1777200579.56798,1.922,2.1953,0.9336,1.4531,2.793286712817
1,schwer,1777200579.56864,1.9226,1.9961,0.3555,1.8125,2.71954990945193
1,schwer,1777200579.5688,1.9228,1.7188,0.293,2.1094,2.736729946487231
1,schwer,1777200579.593432,1.9474,1.5586,0.5156,2.3242,2.8455198048862704
1,schwer,1777200579.618379,1.9724,1.5117,0.2305,2.4844,2.917295065638716
1,schwer,1777200579.620317,1.9743,0.9375,0.2148,2.5078,2.685908808950892
1,schwer,1777200579.643541,1.9975,0.6602,0.3086,2.332,2.443219597170913
1,schwer,1777200579.669114,2.0231,0.3477,-0.0234,1.8398,1.872513521980549
1,schwer,1777200579.670729,2.0247,0.3477,0.1367,1.6172,1.6597945716262599
1,schwer,1777200579.693928,2.0479,0.5,0.1094,1.6328,1.7111411981481832
1,schwer,1777200579.717139,2.0711,0.1875,0.1914,1.293,1.320469314297004
1,schwer,1777200579.721218,2.0752,0.1875,0.2539,1.0391,1.0859789454680968
1,schwer,1777200579.744843,2.0988,0.293,-0.2109,1.2305,1.2823642462264768
1,schwer,1777200579.7452102,2.0992,0.3711,-0.2422,1.3281,1.400080590537559
1,schwer,1777200579.769203,2.1232,0.4766,-0.2344,1.3594,1.4594722607846988
1,schwer,1777200579.769752,2.1237,0.4844,-0.25,1.1758,1.2960127314189471
1,schwer,1777200579.795032,2.149,0.3633,-0.4102,0.9297,1.079163110933653
1,schwer,1777200579.8193438,2.1733,0.0078,-0.6953,0.8125,1.0694200203848814
1,schwer,1777200579.8207932,2.1748,-0.5664,-0.8164,0.543,1.1323280973286851
1,schwer,1777200579.843772,2.1978,-0.918,-0.7812,0.3516,1.2556352973694234
1,schwer,1777200579.8438761,2.1979,-1.1875,-0.6562,0.1133,1.3614667017595399
1,schwer,1777200579.843909,2.1979,-1.3008,-0.457,-0.0703,1.3805331325252574
1,schwer,1777200579.867038,2.221,-1.0703,-0.4023,-0.1328,1.1510965294014226
1,schwer,1777200579.870222,2.2242,-0.8789,-0.4258,0.1055,0.9822937951549934
1,schwer,1777200579.89328,2.2473,-1.5312,-0.2812,0.3008,1.585600050454086
1,schwer,1777200579.894065,2.248,-0.8867,0.2031,0.0195,0.909871831633445
1,schwer,1777200579.918297,2.2723,-1.0039,0.1406,-0.1133,1.0200100293624568
1,schwer,1777200579.920613,2.2746,-0.7344,-0.0039,-0.1133,0.743098553356148
1,schwer,1777200579.9212868,2.2753,-0.6211,0.0898,-0.1562,0.6467052574395851
1,schwer,1777200579.9424388,2.2964,-0.5039,0.2109,-0.082,0.5523748908123902
1,schwer,1777200579.942498,2.2965,-0.3594,0.1055,0.1094,0.39021400538678774
1,schwer,1777200579.967017,2.321,-0.2812,0.0742,0.2617,0.391236463024601
1,schwer,1777200579.969995,2.324,-0.207,0.1953,0.4258,0.5121491286724991
1,schwer,1777200579.970129,2.3241,-0.1289,0.2031,0.4258,0.48905056998228724
1,schwer,1777200579.9922738,2.3463,-0.0898,0.1836,0.4531,0.497063989844366
1,schwer,1777200579.993809,2.3478,-0.0898,0.0742,0.4102,0.4264196524551841
1,schwer,1777200580.018107,2.3721,-0.0977,0.168,0.4453,0.48586148231774867
1,schwer,1777200580.018543,2.3725,0.0156,0.3359,0.2773,0.43585256681589013
1,schwer,1777200580.042803,2.3968,-0.0508,0.3516,0.1094,0.37171435269572256
1,schwer,1777200580.045117,2.3991,-0.25,0.3281,-0.0195,0.41295261229346886
1,schwer,1777200580.0681942,2.4222,-0.7031,0.1992,-0.3125,0.7947870784052795
1,schwer,1777200580.092405,2.4464,-0.7109,0.2461,-0.4375,0.8702587373879104
1,schwer,1777200580.0948632,2.4488,-0.5195,0.3281,-0.4805,0.7800064807423076
2,schwer,1777200584.718129,0.0057,-0.0234,-0.0234,-0.0352,0.04831314520914572
2,schwer,1777200584.718348,0.0059,-0.0234,-0.0625,-0.0352,0.07545097746219064
2,schwer,1777200584.7188532,0.0064,-0.0234,-0.0625,-0.0703,0.0969324507066648
2,schwer,1777200584.743781,0.0314,0.0156,-0.0625,-0.0352,0.07340742469260177
2,schwer,1777200584.770414,0.058,-0.0234,-0.0234,-0.0352,0.04831314520914572
2,schwer,1777200584.770711,0.0583,-0.0234,0.0156,0.0039,0.02839242856819402
2,schwer,1777200584.770965,0.0585,-0.0234,0.0156,0.043,0.051380151809818544
2,schwer,1777200584.79267,0.0802,-0.0234,0.0156,0.0039,0.02839242856819402
2,schwer,1777200584.8193831,0.107,0.0234,0.0156,0.0039,0.02839242856819402
2,schwer,1777200584.8199701,0.1075,0.0234,0.0156,0.0039,0.02839242856819402
2,schwer,1777200584.8212018,0.1088,-0.0156,0.0156,0.0039,0.022403794321498312
2,schwer,1777200584.8448699,0.1324,-0.0156,0.0156,-0.0352,0.041542267631895106
2,schwer,1777200584.868335,0.1559,-0.0156,0.0156,-0.0352,0.041542267631895106
2,schwer,1777200584.870189,0.1578,0.0234,-0.0234,-0.0352,0.04831314520914572
2,schwer,1777200584.8941681,0.1817,-0.0156,-0.0625,-0.0352,0.07340742469260177
2,schwer,1777200584.894277,0.1819,0.0234,-0.0234,-0.0352,0.04831314520914572
2,schwer,1777200584.894625,0.1822,0.0234,-0.0234,-0.0352,0.04831314520914572
2,schwer,1777200584.894895,0.1825,0.0234,0.0156,0.0039,0.02839242856819402
2,schwer,1777200584.921163,0.2087,0.0234,0.0156,0.0117,0.030459973736035952
2,schwer,1777200584.9216452,0.2092,-0.0156,0.0547,0.0508,0.07626329392309251
2,schwer,1777200584.943701,0.2313,-0.0156,0.0547,0.0117,0.05807185204554785
2,schwer,1777200584.943768,0.2313,0.0234,0.0156,0.0508,0.05806513583898689
2,schwer,1777200584.969237,0.2568,-0.0156,0.0156,0.0039,0.022403794321498312
2,schwer,1777200584.970038,0.2576,0.0234,0.0156,0.0039,0.02839242856819402
2,schwer,1777200584.994261,0.2818,0.0234,-0.0234,-0.0352,0.04831314520914572
2,schwer,1777200584.994326,0.2819,-0.0156,-0.0234,-0.0352,0.04505507740532692
2,schwer,1777200585.019047,0.3066,-0.0156,0.0156,0.0039,0.022403794321498312
2,schwer,1777200585.0451462,0.3327,0.0234,0.0156,-0.0352,0.04505507740532692
2,schwer,1777200585.0455549,0.3331,0.0234,0.0156,-0.0352,0.04505507740532692
2,schwer,1777200585.0688798,0.3565,0.0234,-0.0234,-0.0273,0.0429
2,schwer,1777200585.069194,0.3568,0.0234,-0.0234,-0.0273,0.0429
2,schwer,1777200585.0692322,0.3568,0.0156,0.0547,0.0117,0.05807185204554785
2,schwer,1777200585.096321,0.3839,-0.0234,0.0078,0.0117,0.0273
2,schwer,1777200585.12054,0.4081,-0.0234,-0.0312,0.0117,0.040717195384751145
2,schwer,1777200585.120696,0.4083,0.0156,0.0078,-0.0273,0.03239583306538049
2,schwer,1777200585.1210911,0.4087,0.0156,-0.0703,0.0117,0.07295436930026879
2,schwer,1777200585.143269,0.4308,0.0156,-0.0312,-0.0273,0.044295485097242134
2,schwer,1777200585.1433651,0.4309,0.0156,-0.0312,0.0117,0.03679252641502075
2,schwer,1777200585.1690428,0.4566,0.0156,0.0078,0.0117,0.021002142747824564
2,schwer,1777200585.170784,0.4584,0.0156,0.0078,0.0117,0.021002142747824564
2,schwer,1777200585.1951702,0.4827,-0.0234,0.0078,-0.0273,0.03679252641502076
2,schwer,1777200585.195462,0.483,-0.0234,0.0078,0.0117,0.0273
2,schwer,1777200585.217911,0.5055,-0.0234,-0.0312,-0.0273,0.04760556690136144
2,schwer,1777200585.217976,0.5055,-0.0234,-0.0312,-0.0273,0.04760556690136144
2,schwer,1777200585.219506,0.5071,0.0156,-0.0312,-0.0273,0.044295485097242134
2,schwer,1777200585.244766,0.5323,0.0156,0.0078,0.0117,0.021002142747824564
2,schwer,1777200585.244864,0.5324,0.0156,-0.0312,0.0117,0.03679252641502075
2,schwer,1777200585.268759,0.5563,-0.0234,0.0156,0.0508,0.05806513583898689
2,schwer,1777200585.268873,0.5564,0.0156,-0.0234,0.0117,0.030459973736035952
2,schwer,1777200585.294213,0.5818,-0.0234,-0.0234,0.0117,0.0351
2,schwer,1777200585.29489,0.5825,0.0156,-0.0234,0.0117,0.030459973736035952
2,schwer,1777200585.29493,0.5825,-0.0234,-0.0234,-0.0273,0.0429
2,schwer,1777200585.320144,0.6077,0.0156,0.0156,0.0117,0.02497218452598811
2,schwer,1777200585.320241,0.6078,-0.0234,0.0156,-0.0273,0.03919451492237147
2,schwer,1777200585.344171,0.6317,0.0156,0.0156,-0.0273,0.0351
2,schwer,1777200585.369484,0.6571,-0.0234,0.0156,-0.0273,0.03919451492237147
2,schwer,1777200585.3700428,0.6576,-0.0234,0.0547,0.0117,0.0606344786404567
2,schwer,1777200585.3701382,0.6577,0.0156,0.0156,0.0117,0.02497218452598811
2,schwer,1777200585.396296,0.6839,-0.2148,0.207,0.3203,0.4376986748894723
2,schwer,1777200585.396684,0.6843,0.168,-0.1289,-0.1719,0.27274313923543525
2,schwer,1777200585.419748,0.7073,0.1328,-0.1289,-0.1719,0.252587925285434
2,schwer,1777200585.444297,0.7319,-0.3281,0.2539,0.3281,0.5289276226479385
2,schwer,1777200585.444677,0.7323,0.0938,-0.082,-0.125,0.17648637341166032
2,schwer,1777200585.468597,0.7562,0.3984,-0.2656,-0.3008,0.5654613691491224
2,schwer,1777200585.4688792,0.7565,0.0156,-0.0742,-0.0703,0.10339772724774951
2,schwer,1777200585.469383,0.757,-0.1055,0.1172,0.1953,0.25101430238135836
2,schwer,1777200585.4938712,0.7814,0.125,-0.0664,0.2734,0.307866074779278
2,schwer,1777200585.494161,0.7817,0.0469,0.0078,0.2656,0.26982181157200763
2,schwer,1777200585.519042,0.8066,-0.0664,0.125,0.0742,0.15981113853546003
2,schwer,1777200585.570221,0.8578,0.125,-0.1836,-0.1172,0.2511370143965242
2,schwer,1777200585.570747,0.8583,0.1602,-0.1055,-0.2773,0.3371788546157662
2,schwer,1777200585.570821,0.8584,0.1172,-0.1133,-0.0781,0.18075491694557025
2,schwer,1777200585.593166,0.8807,-0.0391,0.0312,0.0273,0.0569871915433635
2,schwer,1777200585.594404,0.882,-0.0312,0.0625,0.0195,0.07252544381112053
2,schwer,1777200585.594667,0.8822,-0.0312,0.0234,0.0195,0.043603325561245895
2,schwer,1777200585.61834,0.9059,0.0469,-0.0156,-0.0547,0.07372285941280357
2,schwer,1777200585.6201541,0.9077,0.0078,0.0234,-0.0195,0.031442805218364345
2,schwer,1777200585.643291,0.9309,0.1602,-0.168,-0.1719,0.28885575985256035
2,schwer,1777200585.667541,0.9551,0.0078,-0.0898,-0.0273,0.09418157994002863
2,schwer,1777200585.6698828,0.9575,0.0078,-0.0156,0.0117,0.021002142747824564
2,schwer,1777200585.6934469,0.981,-0.0312,0.0234,0.0508,0.06404404734243457
2,schwer,1777200585.695306,0.9829,0.0078,-0.0156,0.0117,0.021002142747824564
2,schwer,1777200585.719021,1.0066,0.0469,-0.0156,0.0117,0.05079232225445102
2,schwer,1777200585.7205272,1.0081,-0.0312,0.0234,0.0508,0.06404404734243457
2,schwer,1777200585.744298,1.0319,-0.0312,0.0938,0.2422,0.26159648315678863
2,schwer,1777200585.768126,1.0557,-0.1055,0.7812,0.6562,1.0256715507412693
2,schwer,1777200585.769957,1.0575,-0.1055,0.5156,0.0508,0.528728900288229
2,schwer,1777200585.792711,1.0803,0.0078,0.5156,-0.1094,0.527136187336821
2,schwer,1777200585.7933362,1.0809,-0.0312,0.1992,0.4961,0.5355084406430957
2,schwer,1777200585.817973,1.1055,-0.1445,0.3516,0.7617,0.8512870843610868
2,schwer,1777200585.820193,1.1078,-0.1055,0.2383,0.8711,0.9092482334324329
2,schwer,1777200585.843956,1.1315,-1.2539,-0.1211,1.0156,1.6181389866139435
2,schwer,1777200585.844811,1.1324,-1.8242,0.2383,0.7617,1.9911502755944868
2,schwer,1777200585.8682408,1.1558,-1.9766,0.7812,0.2539,2.140487376743904
2,schwer,1777200585.87025,1.1578,-1.9375,1.0547,0.0039,2.2059722459722835
2,schwer,1777200585.893173,1.1807,-2.207,0.5039,0.3867,2.2965846598808413
2,schwer,1777200585.893496,1.1811,-2.1289,-0.0352,0.6094,2.2146834107835818
2,schwer,1777200585.9278212,1.2154,-1.8984,-0.2969,0.6875,2.0407666255601105
2,schwer,1777200585.942662,1.2302,-1.3086,-0.2344,0.4883,1.4162677042141434
2,schwer,1777200585.9430761,1.2306,-1.1641,-0.0508,0.2812,1.198658787979298
2,schwer,1777200585.969833,1.2574,-1.1641,-0.0156,0.0664,1.1660965354549337
2,schwer,1777200585.9721851,1.2598,-1.2695,-0.2617,-0.0312,1.296568771797316
2,schwer,1777200586.019479,1.3071,-1.4219,-0.0547,-0.3164,1.4577038999742025
2,schwer,1777200586.019937,1.3075,-1.4922,-0.0469,-0.4453,1.5579321358775549
2,schwer,1777200586.044493,1.3321,-1.7227,-0.1758,-0.5625,1.8207161173560251
2,schwer,1777200586.044565,1.3321,-1.7539,-0.1992,-0.6328,1.8751751091564755
2,schwer,1777200586.069721,1.3573,-1.7383,-0.3828,-1.1758,2.133243626499327
2,schwer,1777200586.069806,1.3574,-1.8203,-0.3672,-1.2305,2.2276575544728594
2,schwer,1777200586.093859,1.3814,-1.8516,-0.3281,-1.2773,2.2732284223104373
2,schwer,1777200586.0948339,1.3824,-1.7773,-0.6406,-1.2773,2.2804953277742097
